Designator,Footprint,Quantity,Value,LCSC Part #
AE1,1206,1,ANT3216LL00R2400A,C293767
"C1, C2",0402,2,20p_0402_C0G_50V,C1554
"C10, C16, C17, C21, C22, C23",0402,6,100n_0402_X7R_16V,C1525
"C13, C15, C25",0603,3,22u_0603_X5R_6V3,C59461
"C14, C4",0402,2,1u_0402_X5R_25V,C52923
"C18, C19",0402,2,3p3_0402_C0G_50V,C1565
"C20, C8, C9",0402,3,10u_0402_X5R_6V3,C15525
D1,D_SMA,1,M7(Basic),C95872
D2,0603,1,0603_RED,C2286
D3,0603,1,XL-1608UGC-04(Green),C965804
J1,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,1,M1257RS-04P,C2939383
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,BatConnect2PSMD,C47647
L2,L_Chilisin_BMRx00040412,1,2u2_SL0420-2R2M,C22463806
L3,0402,1,2n2H_0403_500mA,C76790
"Q1, Q3, Q5",SOT-23,3,SI2301CDS-T1-GE3,C10487
Q4,SOT-23,1,2N7002,C8545
"R1, R13, R17, R6, R8",0402,5,100k_0402,C25741
"R10, R2, R3, R9",0402,4,5k1_0402,C25905
R11,0603,1,150k_0603,C22807
R12,0402,1,33k_0402,C25779
"R15, R18, R7",0402,3,1M_0402,C26083
"R16, R19",0402,2,10k_0402,C25744
"R20, R21",0402,2,4k7_0402,C25900
R4,0402,1,100_0402,C25076
R5,0603,1,36k5_0603,C23029
SW2,SW_TS-1088_XNP,1,TS-1088-AR02016,C720477
U1,USB-C-MC-311D,1,USB-C-16P-SMD,C136423
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,1,ESP32-C3,C2858491
U3,HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.4x3.2mm_ThermalVias,1,TP4056-42-ESOP8,C16581
U5,SOT-23-5,1,SKCL3130ME,C2941741 
U6,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,1,TPS63900DSKR,C1518762
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz_S3240000151040,C426990
