Designator,Mid X,Mid Y,Rotation,Layer
AE1,38.3,-22.9,0.0,top
C1,21.2,-13.2,0.0,top
C10,31.1,-17.92,90.0,top
C13,18.15,-17.35,0.0,top
C14,30.095,-18.985,270.0,top
C15,18.15,-18.95,0.0,top
C16,29.775,-11.225,0.0,top
C17,23.095,-17.8,180.0,top
C18,25.1,-21.79,180.0,top
C19,25.08,-18.8,180.0,top
C2,21.2,-17.8,180.0,top
C20,27.595,-20.485,0.0,top
C21,27.095,-18.985,90.0,top
C22,31.92,-15.7,180.0,top
C23,28.275,-10.745,90.0,top
C25,18.5,-23.6,0.0,top
C4,14.4,-14.9,90.0,top
C8,9.8,-12.5,180.0,top
C9,10.025,-3.9,180.0,top
D1,9.3,-16.7,90.0,top
D2,6.6,-22.9,270.0,top
D3,6.605,-18.1325,270.0,top
J1,35.8,-6.015,0.0,top
J2,15.7,-7.915,0.0,top
L2,13.75,-21.25,270.0,top
L3,25.6,-20.29,90.0,top
Q1,13.0,-16.4,180.0,top
Q3,35.1,-16.4,0.0,top
Q4,32.5,-11.3,270.0,top
Q5,39.1,-10.2,270.0,top
R1,28.095,-18.985,90.0,top
R10,35.5,-10.2,270.0,top
R11,33.4,-18.5,270.0,top
R12,6.6,-13.6,180.0,top
R13,32.1,-17.92,270.0,top
R15,33.4,-14.8,90.0,top
R16,7.9,-12.5,180.0,top
R17,31.6,-19.42,180.0,top
R18,37.0,-12.1,270.0,top
R19,29.095,-18.985,90.0,top
R2,27.1,-10.7,270.0,top
R20,6.6,-14.6,0.0,top
R21,8.0,-23.4,90.0,top
R3,22.5,-10.3,180.0,top
R4,13.0,-14.1,0.0,top
R5,20.7,-20.3,90.0,top
R6,31.475,-14.125,180.0,top
R7,35.1,-14.1,180.0,top
R8,31.4,-9.4,270.0,top
R9,36.6,-10.2,270.0,top
SW2,38.9,-15.5,90.0,top
U1,25.65,-6.46,180.0,top
U2,27.3,-14.9,180.0,top
U3,8.4,-8.25,90.0,top
U5,17.0,-14.8,180.0,top
U6,18.0,-21.3,180.0,top
Y1,21.975,-15.5,0.0,top
